gvkey,datadate,conm,atq,cdbtq,niq,rclq,req,teqq
017120,3/31/2000,MNSN HOLDINGS INC,5064.525,393.837,54.655,72.9,233.763,400.684
017120,6/30/2000,MNSN HOLDINGS INC,5393.225,346.654,33.735,73.8,261.379,436.183
017120,9/30/2000,MNSN HOLDINGS INC,5504.131,365.218,34.939,73.8,300.685,571.61
017120,12/31/2000,MNSN HOLDINGS INC,5626.775,333.181,35.739,73.8,337.698,614.121
017120,3/31/2001,MNSN HOLDINGS INC,4842.755,243.61,33.336,73.8,376.27,659.97
017120,6/30/2001,MNSN HOLDINGS INC,4422.761,404.656,24.132,74,398.132,655.017
017120,9/30/2001,MNSN HOLDINGS INC,4147.885,398.727,18.602,73.5,425.021,664.113
017120,12/31/2001,MNSN HOLDINGS INC,4172.077,231.198,12.084,72.375,432.927,627.515
017120,3/31/2002,MNSN HOLDINGS INC,3987.475,335.424,13.36,71.375,443.375,640.755
017120,6/30/2002,MNSN HOLDINGS INC,3831.77,231.247,14.985,76,463.472,658.843
017120,9/30/2002,MNSN HOLDINGS INC,3863.599,178.459,13.096,73.8,479.302,622.304
017120,12/31/2002,MNSN HOLDINGS INC,4183.181,239.927,11.917,70.5,490.982,590.35
017120,3/31/2003,MNSN HOLDINGS INC,3988.088,145.805,10.418,70,498.696,566.136
017120,6/30/2003,MNSN HOLDINGS INC,4294.59,238.202,-0.576,69.5,432.182,432.135
017120,9/30/2003,MNSN HOLDINGS INC,4259.816,229.001,17.429,67.5,451.029,455.106
017120,12/31/2003,MNSN HOLDINGS INC,4465.37,252.521,-15.294,64.5,433.962,447.005
017120,3/31/2004,MNSN HOLDINGS INC,4492.255,200.966,13.221,63.3,453.737,476.433
017120,6/30/2004,MNSN HOLDINGS INC,4857.521,213.53,14.461,61.9,441.513,473.477
017120,9/30/2004,MNSN HOLDINGS INC,4930.633,231.656,15.391,58.6,473.53,512.061
017120,12/31/2004,MNSN HOLDINGS INC,5145.679,284.208,20.793,37.613,501.198,541.948
017120,3/31/2005,MNSN HOLDINGS INC,5070.024,257.606,22.936,35.698,509.88,527.008
017120,6/30/2005,MNSN HOLDINGS INC,5307.826,259.824,20.896,36.372,536.803,532.93
017120,9/30/2005,MNSN HOLDINGS INC,5369.066,241.263,23.059,34.863,547.227,545.847
017120,12/31/2005,MNSN HOLDINGS INC,5541.715,286.446,25.646,36.785,566.619,569.301
017120,3/31/2006,MNSN HOLDINGS INC,5446.268,293.022,22.271,35.982,578.271,586.118
017120,6/30/2006,MNSN HOLDINGS INC,5471.651,321.334,13.594,37.907,559.21,568.121
017120,9/30/2006,MNSN HOLDINGS INC,5873.109,305.134,25.17,39.549,595.744,595.778
017120,12/31/2006,MNSN HOLDINGS INC,6081.452,393.284,28.35,42.747,623.607,628.514
017120,3/31/2007,MNSN HOLDINGS INC,5847.856,309.933,28.391,40.256,653.431,653.465
017120,6/30/2007,MNSN HOLDINGS INC,6605.08,350.301,22.865,43.352,665.025,668.91
017120,9/30/2007,MNSN HOLDINGS INC,6304.088,356.742,38.116,44.225,672.601,672.634
017120,12/31/2007,MNSN HOLDINGS INC,6692.456,325.399,34.266,47.293,676.621,676.654
017120,3/31/2008,MNSN HOLDINGS INC,6897.303,387.849,27.24,49.636,675.124,675.156
017120,6/30/2008,MNSN HOLDINGS INC,7309.871,399.391,21.014,52.888,685.095,685.127
017120,9/30/2008,MNSN HOLDINGS INC,8070.945,461.602,25.918,60.29,706.803,730.652
017120,12/31/2008,MNSN HOLDINGS INC,10020.892,1960.418,0.114,107.396,721.661,988.751
017120,3/31/2009,MNSN HOLDINGS INC,10958.768,3537.213,-8.235,110.01,698.546,1292.397
017120,6/30/2009,MNSN HOLDINGS INC,11465.887,3246.56,11.338,110.473,710.317,1325.21
017120,9/30/2009,MNSN HOLDINGS INC,12538.603,4062.298,24.163,86.713,751.968,1392.772
017120,12/31/2009,MNSN HOLDINGS INC,12841.399,3454.611,20.744,72.45,738.812,1474.11
017120,3/31/2010,MNSN HOLDINGS INC,14125.249,4614.434,18.557,68.271,774.928,1549.16
017120,6/30/2010,MNSN HOLDINGS INC,14903.986,4146.737,21.12,71.789,832.54,1626.955
017120,9/30/2010,MNSN HOLDINGS INC,15660.069,3387.204,37.787,74.369,857.979,1696.296
017120,12/31/2010,MNSN HOLDINGS INC,17527.761,2672.725,17.487,82.627,851.974,1748.278
017120,3/31/2011,MNSN HOLDINGS INC,18618.266,2073.848,33.007,82.051,870.078,1847.031
017120,6/30/2011,MNSN HOLDINGS INC,19366.735,2100.462,65.75,82.155,973.965,2016.051
017120,9/30/2011,MNSN HOLDINGS INC,19195.363,1742.144,37.571,85.246,1063.612,2192.328
017120,12/31/2011,MNSN HOLDINGS INC,19968.894,852.01,35.574,89.947,1085.132,2250.389
017120,3/31/2012,MNSN HOLDINGS INC,20818.337,598.916,34.79,100.922,1123.832,2342.703
017120,6/30/2012,MNSN HOLDINGS INC,21289.772,1224.552,47.603,98.166,1186.203,2444.325
017120,9/30/2012,MNSN HOLDINGS INC,21576.934,790.404,42.289,101.524,1246.425,2555.346
017120,12/31/2012,MNSN HOLDINGS INC,22766.123,752.056,50.421,110.651,1283.431,2605.233
017120,3/31/2013,MNSN HOLDINGS INC,22796,1180.562,40.891,112.205,1311.385,2662.058
017120,6/30/2013,MNSN HOLDINGS INC,22153.901,742.648,48.584,119.571,1254.583,2672.095
017120,9/30/2013,MNSN HOLDINGS INC,23740.864,1774.718,67.621,124.734,1337.418,2923.644
017120,12/31/2013,MNSN HOLDINGS INC,26417.189,1365.79,58.757,142.886,1341.968,3079.328
017120,3/31/2014,MNSN HOLDINGS INC,29711.039,3745.428,90.95,123.542,1451.643,3366.981
017120,6/30/2014,MNSN HOLDINGS INC,33309.016,2596.067,50.953,120.728,1583.106,3938.024
017120,9/30/2014,MNSN HOLDINGS INC,36041.007,1821.703,63.977,129.061,1614.569,3940.016
017120,12/31/2014,MNSN HOLDINGS INC,39344.64,1700.451,57.99,165.359,1697.361,4056.424
017120,3/31/2015,MNSN HOLDINGS INC,39695.99,1071.976,88.516,167.875,1831.151,4277.231
017120,6/30/2015,MNSN HOLDINGS INC,40236.118,2286.938,86.143,192.644,1888.543,3189.472
017120,9/30/2015,MNSN HOLDINGS INC,41730.982,1459.661,81.733,197.507,2003.199,3314.228
017120,12/31/2015,MNSN HOLDINGS INC,44686.703,1377.866,87.512,217.613,2009.05,3333.231
017120,3/31/2016,MNSN HOLDINGS INC,43573.902,1580.091,79.174,230.249,2188.21,3511.04
017120,6/30/2016,MNSN HOLDINGS INC,43132.654,1538.398,92.964,244.723,2295.705,3633.793
017120,9/30/2016,MNSN HOLDINGS INC,43274.037,2357.6,111.081,240.565,2373.444,3723.317
017120,12/31/2016,MNSN HOLDINGS INC,44683.66,2481.722,99.466,225.366,2399.761,3777.037
017120,3/31/2017,MNSN HOLDINGS INC,46413.339,3617.642,101.483,243.13,2495.772,3903.456
017120,6/30/2017,MNSN HOLDINGS INC,48400.379,3661.823,123.193,236.496,2615.897,4040.035
017120,9/30/2017,MNSN HOLDINGS INC,50754.287,3492.907,148.62,249.01,2765.261,4197.298
017120,12/31/2017,MNSN HOLDINGS INC,51214.467,2675.199,117.21,255.024,2865.365,4319.415
017120,3/31/2018,MNSN HOLDINGS INC,53500.787,2244.204,194.961,274.294,3088.395,4559.724
017120,6/30/2018,MNSN HOLDINGS INC,55867.745,2674.722,237.798,286.709,3311.014,4804.841
017120,9/30/2018,MNSN HOLDINGS INC,58139.734,3699.96,274.817,285.713,3564.286,5070.045
017120,12/31/2018,MNSN HOLDINGS INC,56927.979,3447.928,266.264,280.903,3737.718,5264.843
017120,3/31/2019,MNSN HOLDINGS INC,60160.285,6768.128,288.732,300.151,3948.591,5483.823
017120,6/30/2019,MNSN HOLDINGS INC,63773.739,8729.247,317.987,301.888,4132.426,5706.175
017120,9/30/2019,MNSN HOLDINGS INC,68231.233,6559.077,267.281,304.41,4448.898,6048.469
017120,12/31/2019,MNSN HOLDINGS INC,71004.903,6492.443,262.856,304.924,4660.046,6621.08
017120,3/31/2020,MNSN HOLDINGS INC,75009.64,9159.69,135.622,548.963,5205.319,7183.221
017120,6/30/2020,MNSN HOLDINGS INC,85730.985,13885.058,233.529,589.828,5456.455,7468.313
017120,9/30/2020,MNSN HOLDINGS INC,96916.771,15237.612,446.307,512.958,5903.827,7967.38
017120,12/31/2020,MNSN HOLDINGS INC,115511.007,17447.916,392.91,447.765,6294.266,8433.491
017120,3/31/2021,MNSN HOLDINGS INC,142346.62,20966.421,536.814,391.751,6224.929,10120.779
017120,6/30/2021,MNSN HOLDINGS INC,163399,23197,515.186,396,6848,11967
017120,9/30/2021,MNSN HOLDINGS INC,190996,18724,387,398,7136,14669
