PERMNO,TICKER,CUSIP,COMNAM
10002,BTFG,05978R10,BANCTRUST FINANCIAL GROUP INC
10205,LSBX,50215P10,L S B CORP
10232,ESBK,28966010,ELMIRA SAVINGS BANK FSB NY
10232,ESBK,28966010,ELMIRA SAVINGS BANK NY
10252,INDB,45383610,INDEPENDENT BANK CORP MA
10297,NHTB,51086610,NEW HAMPSHIRE THRIFT BNCSHRS INC
10297,LSBG,51086610,LAKE SUNAPEE BANK GROUP
10304,AMFI,02391210,AMCORE FINANCIAL INC
10563,HRZB,44041F10,HORIZON FINANCIAL CORP WASH
10638,HNBC,41285010,HARLEYSVILLE NATIONAL CORP PA
10769,CEBK,15241810,CENTRAL BANCORP INC
10777,FCNCA,31946M10,FIRST CITIZENS BANCSHARES INC NC
10781,BKSC,06506610,BANK SOUTH CAROLINA CORP
10825,TSFG,83784110,SOUTH FINL GROUP INC
10892,WSFS,92932810,WSFS FINANCIAL CORP
10913,FFKT,30956210,FARMERS CAPITAL BANK CORP
11006,FLIC,32073410,FIRST LONG ISLAND CORP
11056,STSA,85931930,STERLING FINANCIAL CORP WASH
11131,ASBI,02361310,AMERIANA BANCORP
11246,CFNB,13022210,CALIFORNIA FIRST NATIONAL BANCOR
11285,FBNC,31891010,FIRST BANCORP NC
11293,WSBC,95081010,WESBANCO INC
11348,CNBKA,15643210,CENTURY BANCORP INC
11369,UBSI,90990710,UNITED BANKSHARES INC
11397,WASH,94061010,WASHINGTON TRUST BANCORP INC
11442,CHCO,17783510,CITY HOLDING CO
11506,FSBI,31583110,FIDELITY BANCORP INC
11513,FFKY,32022D10,FIRST FINANCIAL SERVICE CORP
11565,HBNC,44040710,HORIZON BANCORP IND
11565,HBNC,44040710,HORIZON BANCORP INC
11750,RBPAA,78008110,ROYAL BANCSHARES PA INC
11786,SIVB,78486Q10,S V B FINANCIAL GROUP
11839,MFLR,57832110,MAYFLOWER BANCORP INC
11844,CTBI,20414910,COMMUNITY TRUST BANCORP INC
11847,FFHS,32027210,FIRST FRANKLIN CORP
11866,INCB,45467410,INDIANA COMMUNITY BANCORP
11992,CHFC,87230710,CHEMICAL FINANCIAL CORP
11992,TCF,87230710,T C F FINANCIAL CORP NEW
12073,PBCT,71270410,PEOPLES UNITED FINANCIAL INC
12106,WSB,92934C10,W S B HOLDINGS INC
12166,FRBK,76041610,REPUBLIC FIRST BANCORP INC
12189,HIFS,43332310,HINGHAM INSTITUTION FOR SVGS MA
12281,WAIN,93070510,WAINWRIGHT BANK & TRUST CO BOSTN
15070,AROW,04274410,ARROW FINANCIAL CORP
15318,ASBC,04548710,ASSOCIATED BANC CORP
15318,ASB,04548710,ASSOCIATED BANC CORP
16505,BPOP,73317470,POPULAR INC
16644,GRAN,06240110,BANK GRANITE CORP
20395,CVBF,12660010,C V B FINANCIAL CORP
25129,CBSH,20052510,COMMERCE BANCSHARES INC
34746,FITB,31677310,FIFTH THIRD BANCORP
35167,FMER,33791510,FIRSTMERIT CORP
35263,TRMK,89840210,TRUSTMARK CORP
35503,FFCH,32023910,FIRST FINANCIAL HOLDINGS INC
35685,FFBC,32020910,FIRST FINANCIAL BANCORP OHIO
35917,FMBI,32086710,FIRST MIDWEST BANCORP INC
36346,SRCE,33690110,1ST SOURCE CORP
39766,FRGB,33615C10,FIRST REGIONAL BANCORP
42906,HBAN,44615010,HUNTINGTON BANCSHARES INC
56611,NPBC,63713810,NATIONAL PENN BANCSHARES INC
58246,NTRS,66585910,NORTHERN TRUST CORP
69586,SBCF,81170780,SEACOAST BANKING CORP FLA
73809,SUSQ,86909910,SUSQUEHANNA BANCSHARES INC PA
75509,SUBK,86473910,SUFFOLK BANCORP
75509,SCNB,86473910,SUFFOLK BANCORP
75550,PVSA,70149210,PARKVALE FINANCIAL CORP
75556,NBN,66405S10,NORTHEAST BANCORP
75556,NBN,66405S10,NORTHEAST BANK
75605,FRME,32081710,FIRST MERCHANTS CORP
75773,CFFC,20365L10,COMMUNITY FINANCIAL CORP
75856,PBCI,69773810,PAMRAPO BANCORP INC
75906,GSBC,39090510,GREAT SOUTHERN BANCORP INC
76060,STBC,85571610,STATE BANCORP INC NY
76202,ESBF,26884F10,E S B FINANCIAL CORP
76331,WCBO,95214520,WEST COAST BANCORP ORE NEW
76435,SAVB,80474810,SAVANNAH BANCORP INC
76504,CATY,14915010,CATHAY GENERAL BANCORP
76529,NRIM,66676210,NORTHRIM BANCORP INC
76684,HBHC,41012010,HANCOCK HOLDING CO
76684,HWC,41012010,HANCOCK WHITNEY CORP
76892,BOKF,05561Q20,B O K FINANCIAL CORP
76960,NSFC,66575110,NORTHERN STATES FNCL CORP NEW
77053,WTNY,96661210,WHITNEY HOLDING CORP
77181,IBNK,45814P10,INTEGRA BANK CORP
77256,MSFG,56062Y10,MAINSOURCE FINANCIAL GROUP INC
77379,THFF,32021810,FIRST FINANCIAL CORP IN
77415,NBTB,62877810,N B T BANCORP INC
77507,HFFC,40417210,H F FINANCIAL CORP
77519,TRST,89834920,TRUSTCO BANK CORP NY
77526,RNST,75970E10,RENASANT CORP
77528,STBA,78385910,S & T BANCORP INC
77585,PNBC,74228210,PRINCETON NATIONAL BANCORP INC
77679,COLB,19723610,COLUMBIA BANKING SYSTEM INC
77783,ABCW,03283910,ANCHOR BANCORP WISCONSIN INC
77889,FUNC,33741H10,FIRST UNITED CORP
77898,CASB,14727210,CASCADE FINANCIAL CORP
78009,SBIB,85890710,STERLING BANCSHARES INC
78195,PVFC,69365410,P V F CAPITAL CORP
78829,UMBF,90278810,U M B FINANCIAL CORP
78903,PEBO,70978910,PEOPLES BANCORP INC
79013,SYBT,86102510,S Y BANCORP INC
79013,SYBT,86102510,STOCK YARDS BANCORP INC
79019,UBCP,90991110,UNITED BANCORP INC OH
79072,BANF,05945F10,BANCFIRST CORP
79080,CVBK,15579210,CENTRAL VIRGINIA BANKSHARES INC
79116,TCBK,89609510,TRICO BANCSHARES
79166,GABC,37386510,GERMAN AMERICAN BANCORP INC
79313,WAYN,94624Q10,WAYNE SAVINGS BANCSHARES INC NEW
79382,FDEF,74052F10,FIRST DEFIANCE FINANCIAL CORP
79382,PFC,74052F10,PREMIER FINANCIAL CORP
79571,CASH,59100U10,META FINANCIAL GROUP INC
79571,CASH,59100U10,PATHWARD FINANCIAL INC
79584,VIST,91825510,V I S T FINACIAL CORP
79731,QCRH,74727A10,Q C R HOLDINGS INC
79734,RVSB,76939710,RIVERVIEW BANCORP INC
79747,UBSH,04911A10,UNION BANKSHARES CORP
79747,UBSH,04911A10,UNION FIRST BAMKSHARES CORP
79747,UBSH,04911A10,UNION BANKSHARES CORP NEW
79747,AUB,04911A10,ATLANTIC UNION BANKSHARES CORP
79824,FFIN,32020R10,FIRST FINANCIAL BANKSHARES INC
79828,FSNM,33645310,FIRST STATE BANCORPORATION
79851,OSBC,68027710,OLD SECOND BANCORP INC
79885,WVFC,92935810,WVS FINANCIAL CORP
79965,FBSI,31868710,FIRST BANCSHARES INC MO
80007,OKSB,84476710,SOUTHWEST BANCORP INC OKLA
80112,CACB,14715420,CASCADE BANCORP
80223,BPFH,10111910,BOSTON PRIVATE FINL HLDGS INC
80336,LARK,51504L10,LANDMARK BANCORP INC
80478,SMBC,84338010,SOUTHERN MISSOURI BANCORP INC
80498,ABCB,03076K10,AMERIS BANCORP
80517,CRRB,07203T10,CARROLLTON BANCORP
80517,BYBK,07203T10,BAY BANCORP INC
80569,PULB,74554810,PULASKI FINANCIAL CORP
80625,FNBN,20416Q10,F N B UNITED CORP
80625,COB,20416Q10,COMMUNITYONE BANCORP
80633,HMNF,40424G10,H M N FINANCIAL INC
80768,THRD,87239110,T F FINANCIAL CORP
80808,METR,59161R10,METRO BANCORP INC
80816,FFFD,65841810,NORTH CENTRAL BANCSHARES INC
80837,PNBK,70336F20,PATRIOT NATIONAL BANCORP INC
80960,CARV,14687560,CARVER BANCORP INC
80990,LION,31639410,FIDELITY SOUTHERN CORP NEW
81095,NWBI,66734010,NORTHWEST BANCSHARES INC
81148,CAFI,13261810,CAMCO FINANCIAL CORP
81206,FKFS,32065510,FIRST KEYSTONE FINANCIAL INC
81259,LSBI,50192510,L S B FINANCIAL CORP
81541,MBFI,55264U10,M B FINANCIAL INC NEW
81546,CBIN,98779U10,COMMUNITY BANK SHRS INDIANA INC
81546,YCB,98779U10,YOUR COMMUNITY BANKSHARES INC
81560,GFED,40108P10,GUARANTY FEDERAL BANCSHARES INC
81564,IBKC,45082810,IBERIABANK CORP
81565,JXSB,46924R10,JACKSONVILLE BANCORP INC MD
81577,WFSL,93882410,WASHINGTON FEDERAL INC
81577,WAFD,93882410,WASHINGTON FEDERAL INC
81577,WAFD,93882410,WAFD INC
81647,AWBC,03058P10,AMERICANWEST BANCORPORATION
82107,WABC,95709010,WESTAMERICA BANCORPORATION
82251,AUBN,05047310,AUBURN NATIONAL BANCORP
82573,FFIC,34387310,FLUSHING FINANCIAL CORP
82575,BANR,06652V20,BANNER CORP
82812,BYFC,11144470,BROADWAY FINANCIAL CORP DEL
83155,OVBC,67771910,OHIO VALLEY BANC CORP
83373,FFDF,30243C10,F F D FINANCIAL CORP
83414,SASR,80036310,SANDY SPRING BANCORP INC
83504,FFBH,07384410,FIRST FEDERAL BANCSHARES ARK INC
83504,BSF,07384410,BEAR STATE FINANCIAL INC
83547,PFBI,74050M10,PREMIER FINANCIAL BANCORP INC
83551,PCBC,69404P20,PACIFIC CAPITAL BANCORP NEW
83631,CCBP,20046810,COMM BANCORP INC
83641,CNAF,20221710,COMMERCIAL NATIONAL FINL CORP
83642,CNBC,20786W10,CENTER BANCORP INC
83642,CNOB,20786W10,CONNECTONE BANCORP INC NEW
83683,PROV,74386810,PROVIDENT FINANCIAL HOLDINGS INC
83723,PABK,69313P10,P A B BANKSHARES INC
83774,OCFC,67523410,OCEANFIRST FINANCIAL CORP
83815,DCOM,25392210,DIME COMMUNITY BANCSHARES INC
83893,PFED,70016410,PARK BANCORP INC
83903,SNBC,86663B20,SUN BANCORP INC NJ
83934,FMFC,32074410,FIRST M & F CORP
84058,BKBK,11109110,BRITTON & KOONTZ CAPITAL CORP
84108,UWBK,91320110,UNITED WESTERN BANCORP INC
84129,ZION,98970110,ZIONS BANCORPORATION
84129,ZION,98970110,ZIONS BANCORPORATION N A
84140,TRUE,15643B20,CENTRUE FINANCIAL CORP NEW
84140,,15643B20,CENTRUE FINANCIAL CORP NEW
84140,CFCB,15643B20,CENTRUE FINANCIAL CORP NEW
84215,CWBC,20415710,COMMUNITY WEST BANCSHARES
84309,FMAR,32079510,FIRST MARINER BANCORP
84331,RIVR,76847510,RIVER VALLEY BANCORP
84397,UNTY,91329010,UNITY BANCORP INC
84516,CCBG,13967410,CAPITAL CITY BANK GROUP
84578,CPBK,20363C10,COMMUNITY CAPITAL CORP
84636,WTFC,97650W10,WINTRUST FINANCIAL CORP
84725,CVLY,19202510,CODORUS VALLEY BANCORP INC
84738,GSLA,36227410,G S FINANCIAL CORP
84749,FSBK,33646W10,FIRST SOUTH BANCORP INC
84825,PBHC,70319R10,PATHFINDER BANCORP INC
84825,PBHC,70319R10,PATHFINDER BANCORP INC MD
85020,PPBI,69478X10,PACIFIC PREMIER BANCORP INC
85047,TIBB,87244920,T I B FINANCIAL CORP
85198,OZRK,06417N10,BANK OF THE OZARKS INC
85198,OZK,06417N10,BANK O Z K
85299,LKFN,51165610,LAKELAND FINANCIAL CORP
85406,VCBI,92778Q10,VIRGINIA COMMERCE BANCORP
85418,CAC,13303410,CAMDEN NATIONAL CORP
85453,ANNB,03584810,ANNAPOLIS BANCORP INC
85559,IBCA,46092710,INTERVEST BANCSHARES CORP
85656,MPB,59540G10,MID PENN BANCORP INC
85680,CBKN,13979310,CAPITAL BANK CORP NEW
85725,CFFI,12466Q10,C & F FINANCIAL CORP
85728,EVBS,27719610,EASTERN VIRGINIA BANKSHARES INC
85731,HFWA,42722X10,HERITAGE FINANCIAL CORP WA
85741,NARA,43940T10,NARA BANCORP INC
85741,BBCN,43940T10,BBCN BANCORP INC
85741,HOPE,43940T10,HOPE BANCORP INC
85751,TSBK,88709810,TIMBERLAND BANCORP INC
85798,SBBX,78413T10,SUSSEX BANCORP
85798,SBBX,78413T10,S B ONE BANCORP
85829,HFBC,43973410,HOPFED BANCORP INC
85832,MBHI,59825110,MIDWEST BANC HOLDINGS INC
85857,BARI,05969010,BANCORP RHODE ISLAND INC
85860,BRKL,11373M10,BROOKLINE BANCORP INC
85865,CWLZ,22376720,COWLITZ BANCORPORATION
85875,IBOC,45904410,INTERNATIONAL BANCSHARES CORP
85883,NWFL,66954910,NORWOOD FINANCIAL CORP
