PERMNO,date,CUSIP,PRC,RET,SHROUT,CFACPR,CFACSHR
11786,2000-01-03,78486Q10,53.00000,0.070707,20885,2,2
11786,2000-01-04,78486Q10,49.56250,-0.064858,20885,2,2
11786,2000-01-05,78486Q10,47.93750,-0.032787,20885,2,2
11786,2000-01-06,78486Q10,49.10938,0.024446,20885,2,2
11786,2000-01-07,78486Q10,49.43750,0.006682,20885,2,2
11786,2000-01-10,78486Q10,52.12500,0.054362,20885,2,2
11786,2000-01-11,78486Q10,54.12500,0.038369,20885,2,2
11786,2000-01-12,78486Q10,52.00000,-0.039261,20885,2,2
11786,2000-01-13,78486Q10,51.31250,-0.013221,20885,2,2
11786,2000-01-14,78486Q10,51.81250,0.009744,20885,2,2
11786,2000-01-18,78486Q10,52.25000,0.008444,20885,2,2
11786,2000-01-19,78486Q10,51.28125,-0.018541,20885,2,2
11786,2000-01-20,78486Q10,51.87500,0.011578,20885,2,2
11786,2000-01-21,78486Q10,54.43750,0.049398,20885,2,2
11786,2000-01-24,78486Q10,54.62500,0.003444,20885,2,2
11786,2000-01-25,78486Q10,53.43750,-0.021739,20885,2,2
11786,2000-01-26,78486Q10,53.50000,0.001170,20885,2,2
11786,2000-01-27,78486Q10,54.93750,0.026869,20885,2,2
11786,2000-01-28,78486Q10,54.46875,-0.008532,20885,2,2
11786,2000-01-31,78486Q10,55.75000,0.023523,20885,2,2
11786,2000-02-01,78486Q10,59.00000,0.058296,20885,2,2
11786,2000-02-02,78486Q10,57.75000,-0.021186,20885,2,2
11786,2000-02-03,78486Q10,58.00000,0.004329,20885,2,2
11786,2000-02-04,78486Q10,58.68750,0.011853,20885,2,2
11786,2000-02-07,78486Q10,61.25000,0.043663,20885,2,2
11786,2000-02-08,78486Q10,67.37500,0.100000,20885,2,2
11786,2000-02-09,78486Q10,69.56250,0.032468,20885,2,2
11786,2000-02-10,78486Q10,67.18750,-0.034142,20885,2,2
11786,2000-02-11,78486Q10,64.87500,-0.034419,20885,2,2
11786,2000-02-14,78486Q10,63.62500,-0.019268,20885,2,2
11786,2000-02-15,78486Q10,64.34375,0.011297,20885,2,2
11786,2000-02-16,78486Q10,64.06250,-0.004371,20885,2,2
11786,2000-02-17,78486Q10,61.90625,-0.033659,20885,2,2
11786,2000-02-18,78486Q10,60.75000,-0.018677,20885,2,2
11786,2000-02-22,78486Q10,64.93750,0.068930,20885,2,2
11786,2000-02-23,78486Q10,66.75000,0.027911,20885,2,2
11786,2000-02-24,78486Q10,66.68750,-0.000936,20885,2,2
11786,2000-02-25,78486Q10,67.37500,0.010309,20885,2,2
11786,2000-02-28,78486Q10,68.87500,0.022263,20885,2,2
11786,2000-02-29,78486Q10,79.25000,0.150635,20885,2,2
11786,2000-03-01,78486Q10,80.06250,0.010252,20885,2,2
11786,2000-03-02,78486Q10,79.59375,-0.005855,20885,2,2
11786,2000-03-03,78486Q10,90.00000,0.130742,20885,2,2
11786,2000-03-06,78486Q10,88.12500,-0.020833,20885,2,2
11786,2000-03-07,78486Q10,84.56250,-0.040426,20885,2,2
11786,2000-03-08,78486Q10,87.00000,0.028825,20885,2,2
11786,2000-03-09,78486Q10,86.18750,-0.009339,20885,2,2
11786,2000-03-10,78486Q10,86.75000,0.006526,20885,2,2
11786,2000-03-13,78486Q10,85.81250,-0.010807,20885,2,2
11786,2000-03-14,78486Q10,74.50000,-0.131828,20885,2,2
11786,2000-03-15,78486Q10,72.50000,-0.026846,20885,2,2
11786,2000-03-16,78486Q10,80.50000,0.110345,20885,2,2
11786,2000-03-17,78486Q10,77.81250,-0.033385,20885,2,2
11786,2000-03-20,78486Q10,60.00000,-0.228916,20885,2,2
11786,2000-03-21,78486Q10,76.06250,0.267708,20885,2,2
11786,2000-03-22,78486Q10,74.75000,-0.017256,20885,2,2
11786,2000-03-23,78486Q10,68.50000,-0.083612,20885,2,2
11786,2000-03-24,78486Q10,68.68750,0.002737,20885,2,2
11786,2000-03-27,78486Q10,70.93750,0.032757,20885,2,2
11786,2000-03-28,78486Q10,72.37500,0.020264,20885,2,2
11786,2000-03-29,78486Q10,70.43750,-0.026770,20885,2,2
11786,2000-03-30,78486Q10,70.37500,-0.000887,20885,2,2
11786,2000-03-31,78486Q10,71.87500,0.021314,23004,2,2
11786,2000-04-03,78486Q10,69.31250,-0.035652,23004,2,2
11786,2000-04-04,78486Q10,64.68750,-0.066727,23004,2,2
11786,2000-04-05,78486Q10,54.75000,-0.153623,23004,2,2
11786,2000-04-06,78486Q10,58.00000,0.059361,23004,2,2
