group,report_date,ratio,n_nonnull,p50,p75,p90,p95,p99,Silicon Valley Bank value,Signature Bank value,First Republic Bank value
all_banks,2014-03-31,cet1_ratio,30,0.14434999999999998,0.18993425,0.3011904,1.4068499999999944,3.765453790000002,,,
all_banks,2014-03-31,total_rbc_ratio,6794,0.1688,0.21463725,0.29451609999999995,0.3869808499999997,1.980650159999999,0.114692,0.149699,0.146357
all_banks,2014-06-30,cet1_ratio,30,0.144716,0.20254999999999998,0.30623330000000004,1.3727948499999947,3.798726250000002,,,
all_banks,2014-06-30,total_rbc_ratio,6722,0.16775,0.2140825,0.2958999,0.3952473499999998,1.8688719999999979,0.134057,0.140769,0.143466
all_banks,2014-09-30,cet1_ratio,30,0.14529999999999998,0.1973,0.38737030000000056,1.3036249999999971,3.676966760000002,,,
all_banks,2014-09-30,total_rbc_ratio,6651,0.1675,0.214,0.2959,0.3924445,1.745527,0.130615,0.137679,0.144725
all_banks,2014-12-31,cet1_ratio,29,0.1415,0.1929,0.343613,1.1344459999999974,3.6410660799999968,,,
all_banks,2014-12-31,total_rbc_ratio,6570,0.16648200000000002,0.2116275,0.29405510000000007,0.3894899999999972,2.004458359999997,0.121168,0.135917,0.142002
all_banks,2015-03-31,cet1_ratio,6480,15.395,20.2525,28.922000000000008,39.083499999999944,208.6877000000001,12.36,12.29,11.25
all_banks,2015-03-31,total_rbc_ratio,6480,16.595,21.3625,29.992000000000004,39.780499999999996,208.6877000000001,13.35,13.54,14.37
all_banks,2015-06-30,cet1_ratio,6408,15.395,20.0025,28.81500000000001,39.623,209.90390000000036,12.87,12.47,10.87
all_banks,2015-06-30,total_rbc_ratio,6408,16.54,21.11,29.912000000000006,40.75299999999999,209.90390000000036,13.93,13.72,14.13
all_banks,2015-09-30,cet1_ratio,6328,15.32,20.072499999999998,28.75,39.0865,199.5139999999992,12.79,12.22,10.71
all_banks,2015-09-30,total_rbc_ratio,6328,16.494999999999997,21.19,29.876000000000005,40.075999999999986,204.3507999999974,13.85,13.47,13.87
all_banks,2015-12-31,cet1_ratio,6238,15.19,19.81,28.559000000000005,38.102999999999994,205.8024000000007,12.52,9.64,10.76
all_banks,2015-12-31,total_rbc_ratio,6238,16.35,20.96,29.61,39.172999999999995,205.8024000000007,13.6,10.7,13.78
all_banks,2016-03-31,cet1_ratio,6176,15.21425,20.032249999999998,28.62625,38.6441,189.36260000000001,12.5652,10.1183,10.6078
all_banks,2016-03-31,total_rbc_ratio,6176,16.356749999999998,21.155175,29.698,39.67615,189.36260000000001,13.6641,11.2267,13.8826
all_banks,2016-06-30,cet1_ratio,6112,15.14085,19.923975,28.51840000000003,38.46543499999996,200.62203000000108,12.5663,10.2793,10.7375
all_banks,2016-06-30,total_rbc_ratio,6112,16.28905,20.996775,29.54552000000001,39.497994999999996,200.62203000000108,13.6544,11.291,13.8618
all_banks,2016-09-30,cet1_ratio,6034,15.1433,19.90745,28.534059999999993,38.58559999999992,191.50341300000056,12.7671,10.1218,10.5194
all_banks,2016-09-30,total_rbc_ratio,6034,16.2924,20.99825,29.54309,39.78352999999999,191.50341300000056,13.834,11.1153,14.3329
all_banks,2016-12-31,cet1_ratio,5966,15.0572,19.65595,28.298650000000002,38.3065,190.7490600000037,12.6494,10.0833,10.832
all_banks,2016-12-31,total_rbc_ratio,5966,16.18925,20.747300000000003,29.4956,39.341525000000004,190.7490600000037,13.6565,11.104,14.4603
all_banks,2017-03-31,cet1_ratio,5908,15.13915,19.790824999999998,28.317850000000004,38.46434999999998,190.50484400000005,12.7464,9.8965,11.1532
all_banks,2017-03-31,total_rbc_ratio,5908,16.234,20.954975,29.414790000000004,39.55186499999999,191.48982000000032,13.8038,10.9027,15.04
all_banks,2017-06-30,cet1_ratio,5839,15.1229,19.80565,28.339339999999996,38.16544999999998,187.44086799999883,12.5948,9.9127,10.722
all_banks,2017-06-30,total_rbc_ratio,5839,16.2266,20.8671,29.36017999999999,39.088119999999996,188.20210399999868,13.589,10.9562,14.5121
all_banks,2017-09-30,cet1_ratio,5789,15.1761,19.8438,28.819479999999995,38.52279999999999,183.33101199999984,12.4109,9.8754,10.5817
all_banks,2017-09-30,total_rbc_ratio,5789,16.2564,20.9688,29.8921,39.626259999999995,183.4810959999997,13.4025,10.9194,14.2338
all_banks,2017-12-31,cet1_ratio,5721,15.0743,19.6626,28.4127,38.9347,193.47618000000128,12.0623,9.8572,10.6277
all_banks,2017-12-31,total_rbc_ratio,5721,16.1852,20.77,29.5699,39.9972,193.47618000000128,13.0393,10.7536,14.1111
all_banks,2018-03-31,cet1_ratio,5657,15.203,19.8796,28.868360000000028,39.39884,195.352547999999,11.8971,10.2226,10.4747
all_banks,2018-03-31,total_rbc_ratio,5657,16.3163,20.9505,30.11666,40.37251999999998,195.352547999999,12.8766,11.1328,13.6527
all_banks,2018-06-30,cet1_ratio,5593,15.2598,19.865,29.099840000000004,39.59553999999999,226.01500399999998,11.7575,10.5003,10.1812
all_banks,2018-06-30,total_rbc_ratio,5593,16.359,20.9746,30.2175,40.721739999999976,226.01500399999998,12.7222,11.4273,13.6847
all_banks,2018-09-30,cet1_ratio,5527,15.3419,20.0191,29.363780000000048,40.421769999999974,210.84656599999857,11.9822,10.7001,10.4695
all_banks,2018-09-30,total_rbc_ratio,5527,16.4534,21.091900000000003,30.458720000000035,41.403779999999976,210.84656599999857,12.9088,11.5902,13.9022
all_banks,2018-12-31,cet1_ratio,5456,15.34,19.95565,29.34585,40.327074999999994,216.41151999999792,12.4102,11.111,10.3773
all_banks,2018-12-31,total_rbc_ratio,5456,16.43975,21.01325,30.3961,41.549,223.46615499999967,13.316,12.0516,13.4283
all_banks,2019-03-31,cet1_ratio,5411,15.4653,20.209,29.3722,40.969,205.71430999999657,12.3526,11.738,10.544
all_banks,2019-03-31,total_rbc_ratio,5411,16.5563,21.293799999999997,30.5289,41.99035,209.95947999999868,13.2911,12.6982,13.5048
all_banks,2019-06-30,cet1_ratio,5352,15.46905,20.29495,29.71479000000001,41.26001,222.68533399999964,12.4989,11.3689,10.187
all_banks,2019-06-30,total_rbc_ratio,5352,16.579050000000002,21.400275,30.79964000000002,42.17698999999999,222.68533399999964,13.4372,12.3374,13.0164
all_banks,2019-09-30,cet1_ratio,5308,15.59185,20.530825,29.997870000000013,41.87073499999998,227.47217400000213,11.4799,11.7628,9.9082
all_banks,2019-09-30,total_rbc_ratio,5308,16.70265,21.597525,31.11898,42.81236499999999,227.47217400000213,12.3629,12.7242,12.6117
all_banks,2019-12-31,cet1_ratio,5227,15.5224,20.41695,30.06354000000003,42.13349999999998,243.89785999999987,11.1217,12.06,9.8617
all_banks,2019-12-31,total_rbc_ratio,5227,16.601,21.5506,31.10456000000003,43.15147999999999,243.89785999999987,11.9586,13.0122,12.7256
all_banks,2020-03-31,cet1_ratio,3449,14.6053,19.234,28.015600000000013,41.28149999999999,264.166884,10.903,11.938,9.8675
all_banks,2020-03-31,total_rbc_ratio,3449,15.7233,20.3708,28.95906000000002,42.10929999999998,264.166884,12.0384,12.8987,12.6184
all_banks,2020-06-30,cet1_ratio,3257,14.57,18.9081,27.702760000000005,41.65963999999998,277.1556200000001,11.0836,12.8845,9.8026
all_banks,2020-06-30,total_rbc_ratio,3257,15.6738,20.0386,28.68242,42.554179999999924,277.1556200000001,12.2824,13.8888,12.4949
all_banks,2020-09-30,cet1_ratio,3171,14.7345,19.144150000000003,27.9686,42.49705,283.41027000000054,10.7513,13.0563,9.7843
all_banks,2020-09-30,total_rbc_ratio,3171,15.8809,20.31645,28.9568,43.65855,283.41027000000054,11.7511,14.0606,12.9366
all_banks,2020-12-31,cet1_ratio,3147,14.8338,19.04225,27.353220000000007,40.71329,255.19027199999977,10.7011,13.357,9.6704
all_banks,2020-12-31,total_rbc_ratio,3147,15.9902,20.1967,28.46298,41.648419999999994,255.33565999999976,11.4933,14.417,12.551
all_banks,2021-03-31,cet1_ratio,3122,14.9905,19.293125,27.8531,41.120069999999934,259.3022309999995,12.9317,12.9651,9.6411
all_banks,2021-03-31,total_rbc_ratio,3122,16.170650000000002,20.423075,28.92798,41.63309999999997,259.5305639999995,13.5624,13.9738,12.8708
